Compound_Score,Negative_Score,Neutral_Score,News_Source,Positive_Score,Tweet_Text,Tweets_Ago
-0.5423,0.2,0.8,@BBCNews,0.0,RT @BBCBreaking: A 7.1 magnitude quake off the south-west coast of Peru kills two people https://t.co/oLae31f3Qh,17
-0.5994,0.302,0.698,@BBCNews,0.0,Cassie Hayes death: Tribute to Tui Southport travel agent https://t.co/pkc5DatgHK,18
0.0,0.0,1.0,@BBCNews,0.0,Australia v England: Jason Roy hits record 180 in five-wicket victory https://t.co/w6Ub0UZNuK,19
-0.3818,0.206,0.794,@BBCNews,0.0,Anthony Joshua v Joseph Parker fight announced for Cardiff in March https://t.co/AdLJUELzZS,20
0.4019,0.0,0.886,@BBCNews,0.114,"RT @BBCSport: Jason Roy hit a record-breaking 180 to help England cruise to victory in the first ODI v Australia. 

Here's the report 👉 htt…",21
-0.5423,0.333,0.667,@BBCNews,0.0,"One in 10 renters have fire risk concerns, poll finds https://t.co/ZyjujE64P6",22
-0.296,0.196,0.804,@BBCNews,0.0,Mario Testino and Bruce Weber accused of sexual exploitation https://t.co/zqahqbqp6H,23
-0.6249,0.439,0.387,@BBCNews,0.174,Teenager stabbed to death at Walsall house party https://t.co/PwUbDJViRe,24
0.0,0.0,1.0,@BBCNews,0.0,Glasgow bin lorry family's £800k compensation deal https://t.co/cNgQEz3WO1,25
0.0,0.0,1.0,@BBCNews,0.0,Madeleine McCann private detective Kevin Halligen dies https://t.co/ctbTlWikct,26
0.0,0.0,1.0,@BBCNews,0.0,RT @bbcnickrobinson: Labour leaves door open to second EU Referemdum as  @jeremycorbyn &amp; @EmilyThornberry state that not calling for one now,27
0.0,0.0,1.0,@BBCNews,0.0,"Independence for Scotland is not a ""constitutional abstraction"", it's about the living standards, economy &amp; society… https://t.co/dMwMoOYbP7",28
0.6486,0.045,0.749,@BBCNews,0.206,"RT @MarrShow: ""Do you accept Scotland is going to leave the EU?"" asks @AndrewMarr9 

""I still hope there’s an alternative to that... I thin…",29
0.4023,0.0,0.869,@BBCNews,0.131,"Staying in the single market &amp; the customs union would be ""least damaging"" post-Brexit option, says Scotland's Firs… https://t.co/2bv3hlSPs3",30
-0.2732,0.251,0.541,@BBCNews,0.208,Conservative Party chairman Brandon Lewis says the party will suspend any candidates who personally abuse other pol… https://t.co/kjrryvILfh,31
0.6908,0.0,0.794,@BBCNews,0.206,"RT @MarrShow: ""The Secretary of State for Justice will do everything he can to make sure this man stays behind bars"" - @BrandonLewis on #Wo…",32
0.5106,0.0,0.645,@BBCNews,0.355,Carillion crunch rescue talks to resume https://t.co/cODFo40mV7,33
-0.5859,0.186,0.814,@BBCNews,0.0,"RT @BBCBreaking: Burning oil tanker sinks more than a week after collision with cargo ship off China, with 32 lives lost, reports say https…",34
0.0,0.0,1.0,@BBCNews,0.0,"If we ""hack off"" Donald Trump won't it be harder to do a trade deal with the US? Andrew #Marr asks Labour's Emily T… https://t.co/oIEBUTJ16d",35
-0.7855,0.297,0.623,@BBCNews,0.08,"RT @MarrShow: Worboys release is a ""threat to women"" - @EmilyThornberry says previous rape cases have not been prosecuted properly #marr ht…",36
-0.3818,0.245,0.755,@BBCNews,0.0,"Fight Labour online, Tory chairman Brandon Lewis says https://t.co/7aq0ys5WgQ",37
0.0,0.0,1.0,@BBCNews,0.0,Sturgeon: UK Brexit plan 'beggars belief' https://t.co/akMUpx7fo9,38
0.0,0.0,1.0,@BBCNews,0.0,UKIP suspends leader's girlfriend after Meghan Markle texts https://t.co/NcInkVIiDG,39
0.0,0.0,1.0,@BBCNews,0.0,Queen's coronation details revealed in documentary https://t.co/yU6xpgS19N,40
0.0,0.0,1.0,@BBCNews,0.0,Chef Angela Hartnett says Britain is not a 'foodie nation' https://t.co/UwpvibvxC6,41
0.0,0.0,1.0,@BBCNews,0.0,John Worboys: Minister considering judicial review https://t.co/RBfdM83JFQ,42
0.0,0.0,1.0,@BBCNews,0.0,Dua Lipa leads the Brits nominations https://t.co/tR2IcqDJwo,43
-0.4767,0.237,0.763,@BBCNews,0.0,"Woman, 28, dies after attack at Tui branch in Southport https://t.co/vyKBHGGw7f",44
0.0,0.0,1.0,@BBCNews,0.0,Six teens held after Hove stabbing https://t.co/HyMNJXULRZ,45
-0.6124,0.393,0.5,@BBCNews,0.107,Facebook warned over legal action after revenge porn case https://t.co/g9bkRPzmFa,46
0.25,0.0,0.926,@BBCNews,0.074,"RT @bbcweather: Chance of #gales on Monday morning, with 60mph winds expected in some parts of the UK. Keep an eye on the forecast for upda…",47
0.0,0.0,1.0,@BBCNews,0.0,"Four Oarsmen smash 3,000 mile Atlantic row in 29 days https://t.co/3mNZK9Fife",48
-0.0516,0.146,0.854,@BBCNews,0.0,Diana and Dodi statue to leave Harrods https://t.co/bpDgKZakJS,49
0.2023,0.0,0.795,@BBCNews,0.205,Carillion: Urgent talks on construction firm's future https://t.co/bbhKuOPeZu,50
-0.1027,0.123,0.877,@BBCNews,0.0,John Humphrys defends 'jokey' pay gap remarks about Carrie Gracie https://t.co/mNhi7bHtPg,51
0.0,0.0,1.0,@BBCNews,0.0,Man dies after wife robbed at Saltcoats newsagent https://t.co/apbxRtVDRr,52
-0.9136,0.626,0.374,@BBCNews,0.0,Harry Uzoka death: Two arrested in model murder probe https://t.co/zEJ6VPzqEP,53
-0.765,0.569,0.431,@BBCNews,0.0,Man sought in suspected murder inquiry https://t.co/XvO4ed4hGL,54
-0.8807,0.63,0.37,@BBCNews,0.0,Bristol murder arrest after street attack on man https://t.co/J9Igd286R0,55
0.0,0.0,1.0,@BBCNews,0.0,Corbyn reappoints Clive Lewis to Labour front bench https://t.co/vYprYfxRQX,56
0.4939,0.0,0.758,@BBCNews,0.242,Government urged to step in over Bield care home closures https://t.co/XYZACdE9QZ,57
-0.0258,0.205,0.598,@BBCNews,0.197,Nottingham railway station to reopen after huge fire https://t.co/rnRs2EoEYz,58
0.3182,0.0,0.796,@BBCNews,0.204,Hospital operations for child teeth removal increase in England https://t.co/Tn3POtS6U9,59
0.4939,0.0,0.738,@BBCNews,0.262,Leicester council sent care children lists to taxi firms https://t.co/g1pKQMDTnG,60
0.3612,0.0,0.737,@BBCNews,0.263,"Comedy actress Bella Emberg dies, aged 80 https://t.co/FryZzN4Pzq",61
0.2732,0.0,0.659,@BBCNews,0.341,Open Banking 'revolution' to challenge banks' dominance https://t.co/u2y4guQHqq,62
0.4576,0.0,0.864,@BBCNews,0.136,"RT @BBCNewsnight: ""We're in a really interesting space in the tech community right now"" - former Facebook executive @elinder talks to @davi…",63
-0.25,0.363,0.411,@BBCNews,0.226,"Snowdonia hoax caller jailed over £32,000 mountain rescue https://t.co/3Ryxx1tBRL",64
-0.6124,0.267,0.733,@BBCNews,0.0,"Saturday's The Guardian: ""'UN: Trump's remarks 'racist and shameful'"" https://t.co/QRi4wdQTym #bbcpapers… https://t.co/umZGYMveji",65
-0.3818,0.224,0.776,@BBCNews,0.0,"Saturday's The Sun: ""Dump Humph"" https://t.co/HFgpQe37rE #bbcpapers #tomorrowspaperstoday (via @BBCHelenaLee)",66
0.4215,0.0,0.714,@BBCNews,0.286,Royal Albert Hall referred to Charity Tribunal https://t.co/XzCxXOHKBG,67
-0.3818,0.191,0.809,@BBCNews,0.0,"Saturday's Express: ""Six rules to fight dementia"" https://t.co/GHxmsTzike #bbcpapers #tomorrowspaperstoday (via @BBCHelenaLee)",68
-0.3818,0.178,0.822,@BBCNews,0.0,"Saturday's Star: ""Have sex and beat the flu"" https://t.co/8Q5x0TYy85 #bbcpapers #tomorrowspaperstoday (via @BBCHelenaLee)",69
-0.5106,0.268,0.732,@BBCNews,0.0,"Saturday's Mirror: ""Chelsea N-word outrage"" https://t.co/C1Ok2qtaxb #bbcpapers #tomorrowspaperstoday (via @BBCHelenaLee)",70
-0.3818,0.178,0.822,@BBCNews,0.0,"Saturday's Telegraph: ""Chemists run short of flu jab"" https://t.co/gthjQplv1x #bbcpapers #tomorrowspaperstoday (via @BBCHelenaLee)",71
-0.2263,0.128,0.872,@BBCNews,0.0,"Saturday's Mail: Now Trump misses out on royal wedding"" https://t.co/HoVNWeLeop #bbcpapers #tomorrowspaperstoday (via @BBCHelenaLee)",72
-0.8481,0.427,0.573,@BBCNews,0.0,"i Weekend: ""Footballer calls on tech giants to tackle racist abuse"" https://t.co/jQA3CbEKiQ #bbcpapers… https://t.co/sMsyewPuxH",73
0.4939,0.0,0.802,@BBCNews,0.198,"FT Weekend: ""Bankers urge Downing St to save Carillion"" https://t.co/E2xYXJDGIp #bbcpapers #tomorrowspaperstoday (via @BBCHelenaLee)",74
0.4215,0.0,0.741,@BBCNews,0.259,New homes sought for budgies rescued in Brighton https://t.co/oFpiJf12q4,75
0.0,0.0,1.0,@BBCNews,0.0,Trump's London tweet sparks social media parodies &amp; #ICancelledMyTripToLondon https://t.co/PH6mT1LSdR,76
0.0,0.0,1.0,@BBCNews,0.0,RT @danroan: REVEALED: UKAD slammed British Cycling for “chaotic” medical storeroom and said its ‘jiffy-bag’ investigation had been “hinder…,77
0.0,0.0,1.0,@BBCNews,0.0,"RT @BBCSport: Ryan Giggs and Craig Bellamy have both been interviewed for the Wales manager job. 👀

➡️ https://t.co/MV9q3voeoZ https://t.co…",78
0.3034,0.0,0.908,@BBCNews,0.092,"RT @danroan: EXCLUSIVE: the scathing letter  UKAD sent to British Cycling after the jiffybag inquiry that neither wanted you to see, &amp; whic…",79
0.0,0.0,1.0,@BBCNews,0.0,"RT @danroan: REVEALED: UKAD claimed its ‘jiffy-bag’ investigation had been “hindered” and may have even been “potentially compromised"" by B…",80
0.0,0.0,1.0,@BBCNews,0.0,Speeding motorcyclist caught by own helmet camera https://t.co/k08qAv5eOd,81
-0.1027,0.113,0.887,@BBCNews,0.0,Nigel Farage 'has £35k pay docked by EU over misspending claim' https://t.co/GBgbxb12y1,82
-0.4404,0.42,0.58,@BBCNews,0.0,RT @BBCBusiness: Carillion's woes https://t.co/Sq6MObTobp,83
0.1779,0.168,0.611,@BBCNews,0.221,"Missing girl Elliana Shand, 4, found safe in Spain https://t.co/QkZ5Cj4meV",84
0.0,0.0,1.0,@BBCNews,0.0,RT @BBCRealityCheck: Settling the debate over which president sold the #USembassy in London. @USAinUK @realDonaldTrump  @BarackObama #trump…,85
0.0258,0.204,0.583,@BBCNews,0.214,Nuneaton bowling alley siege: Man admits charges https://t.co/rZtO3P5Op8,86
-0.8176,0.556,0.444,@BBCNews,0.0,Razvan Sirbu murder: Two men found guilty https://t.co/P0PmaPapCG,87
-0.5423,0.304,0.696,@BBCNews,0.0,HMP Littlehey prisoner 'barricaded female officer' in cell https://t.co/JX0wV8GanY,88
0.7907,0.075,0.607,@BBCNews,0.318,"RT @BBCWorld: ""We celebrate Dr King for standing up for the self-evident truth Americans hold so dear, that no matter what the colour of ou…",89
-0.296,0.155,0.845,@BBCNews,0.0,RT @BBCtrending: Is it transphobic to refuse to date a trans woman? https://t.co/o1f6YTYOjx #CBBIndia,90
0.4588,0.0,0.727,@BBCNews,0.273,Crown jewels hidden in biscuit tin during WWII https://t.co/eDZ01QPLys,91
0.5334,0.0,0.723,@BBCNews,0.277,Big Brother star Rebekah Shelton not dead after 'hack' https://t.co/D9XXrSFjRb,92
0.0,0.0,1.0,@BBCNews,0.0,RT @BBCBusiness: Pound hits highest level since Brexit vote. Full details: https://t.co/HM795x2DCP https://t.co/bfL0smj5D1,93
0.0,0.0,1.0,@BBCNews,0.0,UPDATE: A video from the former Big Brother housemate Rebekah Shelton has disproved reports that she had died… https://t.co/e1PwakXfKT,94
-0.6249,0.369,0.631,@BBCNews,0.0,Chelsea: Premier League club investigate racism allegations https://t.co/IbBujJPbqD,95
-0.4767,0.285,0.584,@BBCNews,0.131,Sophie Lionnet death: Couple admit burning French nanny's body https://t.co/gR621IhV2d,96
-0.4939,0.242,0.758,@BBCNews,0.0,KFC and Tesco machete robberies: Ex-rugby star Malcolm Alker jailed https://t.co/gJAWMmVMVk,97
-0.296,0.18,0.82,@BBCNews,0.0,Katie Hopkins refused libel appeal bid over Jack Monroe tweets https://t.co/7ave4cP8pW,98
-0.296,0.128,0.872,@BBCNews,0.0,"RT @bbcweather: Warnings issued for snow and ice next week. More details here
https://t.co/dEGls5x86D Jo https://t.co/IavTzLkZmU",99
-0.4019,0.252,0.748,@BBCNews,0.0,Man critically injured in blast at Yoker shops https://t.co/xFo4Bt2yVG,100
-0.6705,0.257,0.743,@CBSNews,0.0,"Married couple killed as Amtrak train hits SUV in N.C., authorities say https://t.co/FPMz3jUYLb https://t.co/RCOkQq9Kp6",1
-0.3612,0.185,0.815,@CBSNews,0.0,Motorist strikes officer before speeding off in NYC's Times Square https://t.co/M9jFmaWNbh https://t.co/i0a0x7lRcY,2
-0.7184,0.375,0.625,@CBSNews,0.0,Woman in Michigan faces charges in death of 2nd infant https://t.co/M50AmEf0Jc https://t.co/EwIwEjoQOV,3
0.0,0.0,1.0,@CBSNews,0.0,"Transcript: Sen. Tom Cotton on ""Face the Nation,"" Jan. 14, 2018 https://t.co/Ozz4tUiALF https://t.co/fZLC2zR0ZH",4
0.34,0.0,0.821,@CBSNews,0.179,"Vikings stun Saints, 29-24, with 61-yard touchdown on last play https://t.co/5vhZOLQXUl https://t.co/ZjziY4DxkU",5
0.0,0.0,1.0,@CBSNews,0.0,The American scientist who's seen North Korea's nuclear secrets https://t.co/KXwv4poO3M https://t.co/PqV6O5qcFf,6
-0.3182,0.161,0.839,@CBSNews,0.0,"Media outlets around the world struggle to translate Trump's ""sh*thole"" comments https://t.co/nIToi8d89Z https://t.co/xtS37YafCQ",7
0.0,0.0,1.0,@CBSNews,0.0,"Plane skids off runway in Turkey, comes to a rest on cliff https://t.co/11BnbBYs1H https://t.co/ZAWvCE8BCd",8
0.0,0.0,1.0,@CBSNews,0.0,Reflections from Afghanistan https://t.co/awlHj6pXwm https://t.co/jr3QQ8iq53,9
0.0,0.0,1.0,@CBSNews,0.0,Drawing the lines on gerrymandering https://t.co/aFi2sNK8Cc https://t.co/b1FU08Yshc,10
0.0,0.0,1.0,@CBSNews,0.0,Aziz Ansari responds to woman's claim of sexual misconduct https://t.co/oD4RUWfHYo https://t.co/sxv1FNiim1,11
0.0,0.0,1.0,@CBSNews,0.0,"Oprah Winfrey on ""Time's Up"": Where do we go from here? https://t.co/bB4sn21HFy https://t.co/82hHo946SD",12
-0.296,0.136,0.864,@CBSNews,0.0,"Sen. Joe Manchin: No senator would make up ""atrocious"" remark attributed to Trump https://t.co/J3eGgmG0rW https://t.co/tuYvIPzN5z",13
-0.3182,0.24,0.599,@CBSNews,0.162,U.K. party suspends leader's girlfriend over racist Meghan Markle remarks https://t.co/6Vu18bvGiS https://t.co/Pvneco0nFr,14
0.0,0.0,1.0,@CBSNews,0.0,"Jaguars edge out Steelers 45-42, will meet Patriots for AFC title game https://t.co/TQr5kInUoF https://t.co/Fjl9N5rLji",15
0.6298,0.089,0.66,@CBSNews,0.25,"""I am not a racist. I am the least racist person you have ever interviewed."" Pres. Trump responds to accusations of… https://t.co/WpIzABa5zl",16
-0.8934,0.433,0.567,@CBSNews,0.0,Detectives probe claim that disgraced former politician Elliot Spitzer wanted to stab man during irate interaction… https://t.co/sfXwigqrfA,17
0.4973,0.0,0.855,@CBSNews,0.145,President Trump says he's not a racist days after his reported use of vulgar language to describe immigrants from A… https://t.co/k2ZZQM0UZK,18
0.1779,0.0,0.918,@CBSNews,0.082,Driver trying to make an escape in NYC's Times Square hit a police officer with his car before speeding off… https://t.co/brvJXUDKli,19
-0.6908,0.275,0.725,@CBSNews,0.0,Former NBA star Dennis Rodman has been arrested on suspicion of DUI in Southern California https://t.co/a1Jrv9NEmv https://t.co/f23KGV8zmG,20
-0.6705,0.243,0.757,@CBSNews,0.0,"Married couple killed as Amtrak train hits SUV in North Carolina, authorities say https://t.co/0DMiXjvmxu https://t.co/tRxRokswIx",21
0.0,0.0,1.0,@CBSNews,0.0,"Is Portland still Portlandia? For years, the city has been the symbol for laid-back, inexpensive quirkiness, but it… https://t.co/CIvb18AOmO",22
-0.128,0.077,0.923,@CBSNews,0.0,"It may mostly be propaganda when North Korea boasts about its nuclear capabilities, but one American scientist says… https://t.co/phGnlcYC2S",23
-0.5994,0.157,0.843,@CBSNews,0.0,"In 16 years, the Afghan War has cost 2,400 American lives and $1 trillion. But with the country's capital under sie… https://t.co/sTj39YAIae",24
0.2732,0.0,0.896,@CBSNews,0.104,"Portland is known for its civic responsibility and tolerant disposition. Yet last May, the city also witnessed a ho… https://t.co/cYQMbwK08w",25
0.0,0.0,1.0,@CBSNews,0.0,"Footage shows firefighters responding to a casino boat engulfed in flames near Port Richey, Florida. Dozens of peop… https://t.co/g2hOxRv8HO",26
0.4588,0.0,0.833,@CBSNews,0.167,North Korea has been boasting about its growing nuclear arsenal for years. To make sure the US got the message that… https://t.co/t8qPSfrtMQ,27
-0.5994,0.163,0.837,@CBSNews,0.0,"The war in Afghanistan is the longest in US history. After 16 years, a trillion dollars and 2400 American lives, th… https://t.co/BOYYHwOKVi",28
0.0,0.0,1.0,@CBSNews,0.0,Sen. Tom Cotton joined @FaceTheNation to discuss the immigration debate and the White House's handling of foreign h… https://t.co/uVoEbWZCle,29
-0.5994,0.17,0.83,@CBSNews,0.0,The death toll in the California mudslides rises to 20 after another body was found during a search on Sunday.… https://t.co/2KkvWZs2Yx,30
0.0,0.0,1.0,@CBSNews,0.0,WATCH: Vice President Mike Pence and Second lady Karen Pence lay a wreath at the Martin Luther King Jr. Memorial in… https://t.co/HpAbOrhV3P,31
0.0,0.0,1.0,@CBSNews,0.0,Wake Island: Where America's day really begins (via @CBSSunday) https://t.co/GPySnDSyWU https://t.co/rWtcZILDIr,32
-0.6901,0.341,0.659,@CBSNews,0.0,"FCC chairman Ajit Pai slams ""absolutely unacceptable"" Hawaii missile false alarm https://t.co/yTkPbHRnpc https://t.co/bqICePUA9M",33
-0.7579,0.245,0.755,@CBSNews,0.0,WATCH: Five Axe-wielding thieves break into the Ritz Hotel in Paris and two get away with $5.4 million in stolen go… https://t.co/JmRSdi1xtA,34
0.1779,0.071,0.82,@CBSNews,0.109,"Sharon Stone's second chance: The Oscar-nominated actress is back, following a serious brain hemorrhage, to star in… https://t.co/Ovvt9WSfd6",35
-0.2732,0.152,0.739,@CBSNews,0.109,"Death toll from mudslides rises to 20 as recovery crews slowly make progress digging away masses of mud, boulders a… https://t.co/QGVCrbk6vS",36
-0.296,0.104,0.896,@CBSNews,0.0,"""It was hurtful, it's harmful, it shouldn't have been said, but let's move on,"" Sen. Joe Manchin said on… https://t.co/gz4EAGBvtQ",37
0.0,0.0,1.0,@CBSNews,0.0,How did this car go airborne and fly through a second story window? https://t.co/CQczupD4m0,38
-0.6705,0.216,0.784,@CBSNews,0.0,"""I didn't hear it, and I was sitting no further away from Donald Trump than Dick Durbin was,"" Sen. Tom Cotton says… https://t.co/NOwrLcdh5t",39
0.3818,0.0,0.874,@CBSNews,0.126,"Sen. Cory Gardner told @FaceTheNation that the comments were ""unbecoming"" and that he hoped to ""move beyond"" it… https://t.co/kb98yjUrYC",40
0.0,0.0,1.0,@CBSNews,0.0,Drawing the lines on gerrymandering: @MoRocca on the history and controversy surrounding the re-drawing of politica… https://t.co/OwrdHEDlNb,41
0.0,0.0,1.0,@CBSNews,0.0,"Oprah Winfrey on ""Time's Up"": Where do we go from here? (via @CBSSunday)
https://t.co/3cgFP79Sfy https://t.co/ZJi03m9zYH",42
0.3535,0.073,0.782,@CBSNews,0.145,"POLL: On the issues looming now, most Americans - 70% - favor DACA. Among President Trump's backers, a slim majorit… https://t.co/9tUVpsbLas",43
0.2023,0.0,0.917,@CBSNews,0.083,Two drivers found themselves sitting on top of their cars as 7 feet of water engulfed their vehicles after trying t… https://t.co/37gX87ppMa,44
0.0,0.0,1.0,@CBSNews,0.0,"Almanac: ""Elvis: Aloha from Hawaii via Satellite"" (via @CBSSunday) https://t.co/HxFUnhSZhi https://t.co/iCOpn8Qxa7",45
0.4215,0.0,0.877,@CBSNews,0.123,WATCH: 21 crew members on board a bulk freighter were airlifted to safety after their ship collided with an oil tan… https://t.co/LNnOkRiEMB,46
-0.6597,0.239,0.761,@CBSNews,0.0,"Magnitude 7.1 earthquake hits off Pacific coast of Peru, killing at least 1 person https://t.co/YvlLorUaMK https://t.co/SbOSXEl1vX",47
-0.1686,0.127,0.774,@CBSNews,0.1,"One year into Donald Trump's presidency, Americans feel more positive about the economy but not as good about the s… https://t.co/ftyV4dKCXm",48
0.4404,0.0,0.884,@CBSNews,0.116,"This couple made good on their New Year's resolution to ""live in the moment"" when they pulled over on their way hom… https://t.co/WpuNKbO9gf",49
0.0,0.0,1.0,@CBSNews,0.0,An airplane dangled precariously off a muddy cliff with its nose only a few feet from the Black Sea after skidding… https://t.co/skg62YX7UH,50
0.0,0.0,1.0,@CBSNews,0.0,An airplane  skidded off a runway after landing in northern Turkey and dangled precariously off a muddy cliff with… https://t.co/509jsHceLo,51
-0.3506,0.1,0.9,@CBSNews,0.0,Death toll from the Southern California mudslides rose to 19 on Saturday but a man who had also been on the list of… https://t.co/JhNkyAHY0n,52
0.0,0.0,1.0,@CBSNews,0.0,"Bill Cosby: ""Don't put me on #MeToo"" https://t.co/BusCBZMIuU https://t.co/baoj9AxgBh",53
-0.3182,0.201,0.67,@CBSNews,0.128,"Doreen Tracey, one of the original Disney Mouseketeers, has died at 74 https://t.co/DnE7beprHW https://t.co/Au0jTxwI18",54
0.0,0.0,1.0,@CBSNews,0.0,Chelsea Manning files to run for Senate in Maryland https://t.co/yVuzVEFGNP https://t.co/Db7UzJSQFG,55
-0.3818,0.224,0.776,@CBSNews,0.0,2018 flu season appears to hit deadly peak https://t.co/bzLnii2DoX https://t.co/Nlc6lKopjN,56
-0.296,0.196,0.804,@CBSNews,0.0,Missouri Gov. Eric Greitens accused of slapping mistress https://t.co/1r62UQlZ0z https://t.co/EaZZZjexQE,57
0.0,0.0,1.0,@CBSNews,0.0,H&amp;M stores in South Africa stormed over monkey hoodie https://t.co/W7KuxYkD6G https://t.co/BH1l82QFt6,58
0.0,0.0,1.0,@CBSNews,0.0,Is your local Sam's Club closing? Check the reported closures list https://t.co/WQAxoofB8I https://t.co/aKsedcSEyW,59
-0.6124,0.267,0.733,@CBSNews,0.0,"African ambassadors to U.N. call President Trump's remark ""outrageous, racist"" https://t.co/sLtzXfGMxp https://t.co/ePIozIuVhc",60
-0.9246,0.488,0.512,@CBSNews,0.0,"Report: Killing of girl found burned called ""worst child death case"" Michigan has seen https://t.co/HYmoz26uBh https://t.co/adhnnksOL8",61
-0.0516,0.154,0.705,@CBSNews,0.141,Hawaii missile alert: FCC launches investigation into false ballistic missile warning https://t.co/ElCIQHtDSx https://t.co/yRNqWDhKxG,62
-0.1531,0.127,0.873,@CBSNews,0.0,Car passenger dies while stopping along Texas highway to urinate https://t.co/5ZQlO6Hpr8 https://t.co/MLpjG4eXhK,63
0.1027,0.162,0.649,@CBSNews,0.188,"Man who aided disoriented patient says ""she's doing a lot better"" https://t.co/1Qu0iO4pW5 https://t.co/9iqjaDacRs",64
-0.5574,0.365,0.635,@CBSNews,0.0,"President Trump cancels London trip, blames Obama administration https://t.co/f89KG3ujhd https://t.co/ACzfFDJNyT",65
-0.4588,0.25,0.75,@CBSNews,0.0,"Frustrations, dark discoveries mount for California mudslide town https://t.co/8HMjguLU5c https://t.co/BxDjj7YVBv",66
0.296,0.0,0.833,@CBSNews,0.167,Former U.S. Postal Service worker admits burning mail for months https://t.co/WwaDYvGk1P https://t.co/DSc8EgxfLt,67
-0.7579,0.484,0.516,@CBSNews,0.0,"Suspect in fatal ""SWATting"" call charged with involuntary manslaughter https://t.co/TsMTi8GiCC https://t.co/w6csyZuNqq",68
-0.5095,0.215,0.785,@CBSNews,0.0,"Paul Ryan calls President Trump's ""sh*thole"" comment ""very unfortunate"" and ""unhelpful"" https://t.co/CoKy77Mmku https://t.co/V8Zl9Ix6nk",69
0.0,0.0,1.0,@CBSNews,0.0,"Records: FBI knew Las Vegas gunman had stashes of big guns, ammunition, explosives https://t.co/91VlEx8Hdy https://t.co/sVdhkIVlLj",70
-0.4019,0.231,0.769,@CBSNews,0.0,President Trump's Norway immigration idea? There's one problem https://t.co/xRbPE8XReD https://t.co/Gs1RZDHkVZ,71
-0.9371,0.545,0.455,@CBSNews,0.0,Coach sentenced to death for rape and murder of girl he kidnapped on street https://t.co/QP39VZnrE7 https://t.co/1lJj9XEcbr,72
0.0,0.0,1.0,@CBSNews,0.0,"Pres. Trump's personal lawyer arranged hush money payment to porn star, according to Wall Street Journal report… https://t.co/4jyWmz83G6",73
-0.3612,0.143,0.857,@CBSNews,0.0,White House struggles with muting function for 22 minutes on Iran conference call with reporters… https://t.co/cOJhAmZduu,74
0.0,0.0,1.0,@CBSNews,0.0,Station cargo ship brings science down to Earth https://t.co/xhoGoiHAtw https://t.co/Wsk8492Lqt,75
0.5719,0.0,0.802,@CBSNews,0.198,"Doctor declares President Trump to be in ""excellent health"" after physical, White House says https://t.co/I00OihpD2A https://t.co/kOrSf20Rwe",76
0.0,0.0,1.0,@CBSNews,0.0,President Trump signs executive order addressing veteran suicides https://t.co/5NjSR2D07d https://t.co/KOMZlCigoC,77
0.5994,0.0,0.794,@CBSNews,0.206,Cindy Crawford recreates classic Pepsi ad with son Presley Gerber for Super Bowl 52 https://t.co/o9nGDHSpQJ https://t.co/eByiB1rVeC,78
